Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Line,Product Type,Product,Profit,Sales,State,Total Expenses,Type,Order Date (MDY),Order Date (DMY)
315,$100 ,($50),($170),$50 ,$105 ,725,($44),Major Market,East,$95 ,1,Beans,Espresso,Caffe Mocha,($172),$61 ,New York,$128 ,Regular,1/16/2017,16/1/2017
978,$160 ,$170 ,$110 ,$330 ,$170 ,"1,091",$171 ,Major Market,East,$47 ,1,Beans,Espresso,Regular Espresso,$100 ,$341 ,Massachusetts,$71 ,Regular,1/16/2017,16/1/2017
631,$210 ,$270 ,$200 ,$480 ,$228 ,"1,459",$262 ,Major Market,East,$63 ,1,Beans,Espresso,Regular Espresso,$175 ,$490 ,New York,$87 ,Regular,9/17/2016,17/9/2016
409,$260 ,$300 ,$220 ,$560 ,$207 ,965,$245 ,Major Market,South,$64 ,1,Beans,Coffee,Colombian,$159 ,$452 ,Texas,$86 ,Regular,9/17/2016,17/9/2016
830,$60 ,$90 ,$50 ,$150 ,$72 ,558,$108 ,Major Market,South,$23 ,1,Beans,Espresso,Caffe Latte,$53 ,$180 ,Texas,$55 ,Regular,9/17/2016,17/9/2016
325,$70 ,$110 ,$90 ,$180 ,$89 ,777,$130 ,Major Market,South,$24 ,1,Beans,Espresso,Caffe Mocha,$95 ,$219 ,Texas,$35 ,Regular,9/17/2016,17/9/2016
916,$110 ,$70 ,$30 ,$180 ,$95 ,608,$50 ,Major Market,West,$30 ,1,Beans,Coffee,Amaretto,($2),$145 ,California,$52 ,Regular,9/17/2016,17/9/2016
559,$340 ,$500 ,$370 ,$840 ,$271 ,"2,101",$407 ,Major Market,West,$94 ,1,Beans,Coffee,Colombian,$262 ,$678 ,California,$145 ,Regular,9/17/2016,17/9/2016
661,$210 ,$220 ,$150 ,$430 ,$228 ,"1,459",$228 ,Major Market,West,$63 ,1,Beans,Espresso,Caffe Latte,$140 ,$456 ,California,$88 ,Regular,9/17/2016,17/9/2016
818,$100 ,$140 ,$20 ,$240 ,$105 ,725,$145 ,Major Market,West,$95 ,1,Beans,Espresso,Caffe Mocha,$17 ,$250 ,California,$128 ,Regular,10/19/2018,19/10/2018
970,$140 ,$160 ,$110 ,$300 ,$170 ,"1,091",$171 ,Major Market,Central,$47 ,1,Leaves,Herbal Tea,Chamomile,$99 ,$341 ,Colorado,$72 ,Decaf,12/8/2017,8/12/2017
312,$70 ,$120 ,$100 ,$190 ,$89 ,777,$130 ,Major Market,Central,$24 ,1,Leaves,Herbal Tea,Chamomile,$95 ,$219 ,Illinois,$35 ,Decaf,12/8/2017,8/12/2017
937,$20 ,$50 ,$50 ,$70 ,$32 ,456,$48 ,Major Market,Central,$8 ,1,Leaves,Herbal Tea,Chamomile,$29 ,$80 ,Ohio,$19 ,Decaf,12/27/2016,27/12/2016
719,$50 ,$80 ,$20 ,$130 ,$63 ,435,$87 ,Major Market,Central,$57 ,1,Leaves,Herbal Tea,Lemon,$0 ,$150 ,Colorado,$87 ,Decaf,12/27/2016,27/12/2016
630,$70 ,$90 ,$60 ,$160 ,$83 ,623,$107 ,Major Market,Central,$27 ,1,Leaves,Herbal Tea,Lemon,$68 ,$190 ,Illinois,$39 ,Decaf,12/27/2016,27/12/2016
740,$20 ,$50 ,$50 ,$70 ,$32 ,821,$48 ,Major Market,Central,$8 ,1,Leaves,Herbal Tea,Lemon,$29 ,$80 ,Ohio,$19 ,Decaf,12/27/2016,27/12/2016
970,$50 ,$70 ,$40 ,$120 ,$60 ,336,$80 ,Major Market,Central,$19 ,1,Leaves,Herbal Tea,Mint,$33 ,$140 ,Colorado,$47 ,Decaf,9/10/2018,10/9/2018
773,$80 ,$120 ,$100 ,$200 ,$95 ,821,$139 ,Major Market,Central,$26 ,1,Leaves,Herbal Tea,Mint,$101 ,$234 ,Illinois,$38 ,Decaf,7/17/2017,17/7/2017
863,$30 ,$50 ,$30 ,$80 ,$48 ,623,$62 ,Major Market,East,$15 ,1,Leaves,Herbal Tea,Chamomile,$34 ,$110 ,Florida,$28 ,Decaf,9/19/2018,19/9/2018
239,$40 ,$50 ,$20 ,$90 ,$54 ,312,$66 ,Major Market,East,$20 ,1,Leaves,Herbal Tea,Lemon,$13 ,$120 ,Florida,$53 ,Decaf,3/11/2017,11/3/2017
339,$40 ,$60 ,$30 ,$100 ,$58 ,338,$72 ,Major Market,East,$22 ,1,Leaves,Herbal Tea,Lemon,$17 ,$130 ,Massachusetts,$55 ,Decaf,3/11/2017,11/3/2017
607,$180 ,$190 ,$100 ,$370 ,$245 ,"1,419",$238 ,Major Market,East,$93 ,1,Leaves,Herbal Tea,Lemon,$111 ,$483 ,New York,$127 ,Decaf,10/20/2015,20/10/2015
772,$50 ,$60 ,$40 ,$110 ,$69 ,965,$81 ,Major Market,East,$21 ,1,Leaves,Herbal Tea,Mint,$39 ,$150 ,Florida,$42 ,Decaf,6/20/2017,20/6/2017
845,$150 ,($10),($70),$140 ,$207 ,965,($27),Major Market,East,$64 ,1,Leaves,Herbal Tea,Mint,($113),$180 ,New York,$86 ,Decaf,6/20/2017,20/6/2017
281,$50 ,$80 ,$50 ,$130 ,$60 ,336,$80 ,Major Market,South,$19 ,1,Leaves,Herbal Tea,Chamomile,$33 ,$140 ,Texas,$47 ,Decaf,4/18/2016,18/4/2016
254,$50 ,$80 ,$50 ,$130 ,$57 ,364,$83 ,Major Market,South,$18 ,1,Leaves,Herbal Tea,Lemon,$42 ,$140 ,Texas,$41 ,Decaf,4/18/2016,18/4/2016
510,$80 ,$120 ,$100 ,$200 ,$95 ,821,$139 ,Major Market,West,$26 ,1,Leaves,Herbal Tea,Chamomile,$102 ,$234 ,California,$37 ,Decaf,4/18/2016,18/4/2016
310,$170 ,$220 ,$160 ,$390 ,$207 ,965,$245 ,Major Market,West,$64 ,1,Leaves,Herbal Tea,Lemon,$160 ,$452 ,California,$85 ,Decaf,4/18/2016,18/4/2016
707,$70 ,$90 ,$60 ,$160 ,$83 ,623,$107 ,Major Market,West,$27 ,1,Leaves,Herbal Tea,Mint,$67 ,$190 ,California,$40 ,Decaf,12/11/2017,11/12/2017
719,$40 ,$70 ,$20 ,$110 ,$58 ,338,$72 ,Major Market,Central,$22 ,1,Leaves,Tea,Darjeeling,$17 ,$130 ,Colorado,$55 ,Regular,12/11/2017,11/12/2017
217,$40 ,$70 ,$50 ,$110 ,$54 ,456,$80 ,Major Market,Central,$15 ,1,Leaves,Tea,Darjeeling,$53 ,$134 ,Illinois,$27 ,Regular,6/17/2017,17/6/2017
567,$70 ,$110 ,$60 ,$180 ,$84 ,651,$126 ,Major Market,Central,$27 ,1,Leaves,Tea,Darjeeling,$68 ,$210 ,Ohio,$58 ,Regular,6/17/2017,17/6/2017
303,$50 ,$70 ,$40 ,$120 ,$64 ,965,$76 ,Major Market,Central,$19 ,1,Leaves,Tea,Earl Grey,$36 ,$140 ,Colorado,$40 ,Regular,6/17/2017,17/6/2017
708,$60 ,$90 ,$40 ,$150 ,$72 ,558,$108 ,Major Market,Central,$23 ,1,Leaves,Tea,Earl Grey,$54 ,$180 ,Illinois,$54 ,Regular,6/17/2017,17/6/2017
216,$70 ,$100 ,$60 ,$170 ,$84 ,500,$116 ,Major Market,Central,$26 ,1,Leaves,Tea,Earl Grey,$67 ,$200 ,Ohio,$49 ,Regular,6/17/2017,17/6/2017
303,$30 ,$50 ,$30 ,$80 ,$44 ,623,$56 ,Major Market,Central,$14 ,1,Leaves,Tea,Green Tea,$30 ,$100 ,Colorado,$26 ,Regular,6/17/2017,17/6/2017
954,$30 ,$50 ,$40 ,$80 ,$32 ,821,$48 ,Major Market,East,$8 ,1,Leaves,Tea,Darjeeling,$28 ,$80 ,Florida,$20 ,Regular,6/17/2017,17/6/2017
508,$30 ,$50 ,$40 ,$80 ,$32 ,821,$48 ,Major Market,East,$8 ,1,Leaves,Tea,Darjeeling,$29 ,$80 ,Massachusetts,$19 ,Regular,11/24/2016,24/11/2016
347,$100 ,$150 ,$120 ,$250 ,$95 ,821,$139 ,Major Market,East,$26 ,1,Leaves,Tea,Darjeeling,$101 ,$234 ,New York,$38 ,Regular,11/24/2016,24/11/2016
646,$90 ,$140 ,$110 ,$230 ,$89 ,777,$130 ,Major Market,East,$24 ,1,Leaves,Tea,Earl Grey,$94 ,$219 ,New York,$36 ,Regular,11/24/2016,24/11/2016
754,$30 ,$50 ,$40 ,$80 ,$33 ,777,$48 ,Major Market,East,$9 ,1,Leaves,Tea,Green Tea,$28 ,$81 ,Florida,$20 ,Regular,11/24/2016,24/11/2016
781,$30 ,$50 ,$40 ,$80 ,$32 ,456,$48 ,Major Market,East,$8 ,1,Leaves,Tea,Green Tea,$29 ,$80 ,Massachusetts,$19 ,Regular,4/30/2016,30/4/2016
347,$50 ,$90 ,$70 ,$140 ,$54 ,456,$80 ,Major Market,East,$15 ,1,Leaves,Tea,Green Tea,$54 ,$134 ,New York,$26 ,Regular,12/5/2015,5/12/2015
619,$50 ,$90 ,$80 ,$140 ,$89 ,777,$130 ,Major Market,West,$24 ,1,Leaves,Tea,Darjeeling,$94 ,$219 ,California,$36 ,Regular,12/5/2015,5/12/2015
650,$30 ,$60 ,$60 ,$90 ,$54 ,456,$80 ,Major Market,West,$15 ,1,Leaves,Tea,Earl Grey,$54 ,$134 ,California,$26 ,Regular,6/4/2017,4/6/2017
760,$40 ,$80 ,$50 ,$120 ,$72 ,558,$108 ,Major Market,West,$23 ,1,Leaves,Tea,Green Tea,$54 ,$180 ,California,$54 ,Regular,9/18/2017,18/9/2017
712,$20 ,$30 ,$20 ,$50 ,$23 ,623,$31 ,Small Market,Central,$7 ,1,Beans,Coffee,Decaf Irish Cream,$12 ,$54 ,Iowa,$19 ,Decaf,9/14/2018,14/9/2018
573,$80 ,$90 ,$50 ,$170 ,$78 ,965,$92 ,Small Market,Central,$24 ,1,Beans,Coffee,Decaf Irish Cream,$47 ,$170 ,Missouri,$45 ,Decaf,4/26/2016,26/4/2016
414,$80 ,$100 ,$60 ,$180 ,$77 ,432,$103 ,Small Market,Central,$25 ,1,Beans,Coffee,Decaf Irish Cream,$51 ,$180 ,Wisconsin,$52 ,Decaf,4/26/2016,26/4/2016
563,$10 ,$40 ,$30 ,$50 ,$17 ,777,$26 ,Small Market,Central,$4 ,1,Beans,Espresso,Decaf Espresso,$10 ,$43 ,Iowa,$16 ,Decaf,4/26/2016,26/4/2016
660,$50 ,$80 ,$60 ,$130 ,$46 ,777,$68 ,Small Market,Central,$12 ,1,Beans,Espresso,Decaf Espresso,$45 ,$114 ,Missouri,$23 ,Decaf,12/9/2018,9/12/2018
262,$50 ,$70 ,$50 ,$120 ,$48 ,623,$62 ,Small Market,Central,$15 ,1,Beans,Espresso,Decaf Espresso,$34 ,$110 ,Wisconsin,$28 ,Decaf,12/9/2018,9/12/2018
475,$50 ,$70 ,$40 ,$120 ,$55 ,312,$75 ,Small Market,East,$18 ,1,Beans,Espresso,Decaf Espresso,$30 ,$130 ,Connecticut,$45 ,Decaf,12/9/2018,9/12/2018
985,$40 ,$60 ,$50 ,$100 ,$33 ,777,$48 ,Small Market,South,$9 ,1,Beans,Coffee,Decaf Irish Cream,$28 ,$81 ,Louisiana,$20 ,Decaf,11/26/2015,26/11/2015
505,$110 ,$10 ,($30),$120 ,$88 ,525,$11 ,Small Market,South,$27 ,1,Beans,Coffee,Decaf Irish Cream,($39),$99 ,New Mexico,$50 ,Decaf,6/12/2017,12/6/2017
580,$40 ,$60 ,$50 ,$100 ,$32 ,821,$48 ,Small Market,South,$8 ,1,Beans,Coffee,Decaf Irish Cream,$28 ,$80 ,Oklahoma,$20 ,Decaf,6/12/2017,12/6/2017
337,$50 ,$70 ,$50 ,$120 ,$61 ,390,$89 ,Small Market,South,$19 ,1,Beans,Espresso,Decaf Espresso,$48 ,$150 ,Louisiana,$41 ,Decaf,10/12/2015,12/10/2015
505,$30 ,$40 ,$10 ,$70 ,$35 ,196,$47 ,Small Market,South,$11 ,1,Beans,Espresso,Decaf Espresso,$9 ,$82 ,New Mexico,$38 ,Decaf,10/12/2015,12/10/2015
405,$70 ,$110 ,$70 ,$180 ,$84 ,651,$126 ,Small Market,South,$27 ,1,Beans,Espresso,Decaf Espresso,$67 ,$210 ,Oklahoma,$59 ,Decaf,9/3/2016,3/9/2016
775,$30 ,$40 ,$20 ,$70 ,$28 ,965,$34 ,Small Market,West,$8 ,1,Beans,Coffee,Decaf Irish Cream,$4 ,$62 ,Nevada,$30 ,Decaf,11/13/2018,13/11/2018
971,$70 ,$100 ,$70 ,$170 ,$57 ,364,$83 ,Small Market,West,$18 ,1,Beans,Coffee,Decaf Irish Cream,$42 ,$140 ,Oregon,$41 ,Decaf,5/28/2018,28/5/2018
801,$100 ,$130 ,$70 ,$230 ,$85 ,494,$105 ,Small Market,West,$32 ,1,Beans,Coffee,Decaf Irish Cream,$39 ,$190 ,Utah,$66 ,Decaf,10/26/2018,26/10/2018
509,$90 ,$140 ,$60 ,$230 ,$79 ,551,$111 ,Small Market,West,$72 ,1,Beans,Coffee,Decaf Irish Cream,$9 ,$190 ,Washington,$102 ,Decaf,10/26/2018,26/10/2018
775,$10 ,$30 ,$20 ,$40 ,$17 ,777,$26 ,Small Market,West,$4 ,1,Beans,Espresso,Decaf Espresso,$11 ,$43 ,Nevada,$15 ,Decaf,4/5/2017,5/4/2017
971,$160 ,$160 ,$100 ,$320 ,$170 ,"1,091",$171 ,Small Market,West,$47 ,1,Beans,Espresso,Decaf Espresso,$99 ,$341 ,Oregon,$72 ,Decaf,9/17/2017,17/9/2017
435,$40 ,$70 ,$50 ,$110 ,$50 ,821,$73 ,Small Market,West,$14 ,1,Beans,Espresso,Decaf Espresso,$47 ,$123 ,Utah,$26 ,Decaf,9/17/2017,17/9/2017
206,$60 ,$80 ,$60 ,$140 ,$69 ,965,$81 ,Small Market,West,$21 ,1,Beans,Espresso,Decaf Espresso,$39 ,$150 ,Washington,$42 ,Decaf,9/17/2017,17/9/2017
319,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,Small Market,Central,$5 ,1,Beans,Coffee,Amaretto,$11 ,$45 ,Iowa,$16 ,Regular,1/31/2016,31/1/2016
262,$50 ,$70 ,$30 ,$120 ,$54 ,312,$66 ,Small Market,Central,$20 ,1,Beans,Coffee,Amaretto,$13 ,$120 ,Wisconsin,$53 ,Regular,1/31/2016,31/1/2016
641,$20 ,$40 ,$20 ,$60 ,$28 ,965,$34 ,Small Market,Central,$8 ,1,Beans,Coffee,Colombian,$5 ,$62 ,Iowa,$29 ,Regular,1/31/2016,31/1/2016
636,$90 ,$100 ,$40 ,$190 ,$85 ,494,$105 ,Small Market,Central,$32 ,1,Beans,Coffee,Colombian,$39 ,$190 ,Missouri,$66 ,Regular,11/6/2018,6/11/2018
262,$80 ,$110 ,$20 ,$190 ,$79 ,551,$111 ,Small Market,Central,$72 ,1,Beans,Coffee,Colombian,$9 ,$190 ,Wisconsin,$102 ,Regular,11/9/2018,9/11/2018
563,$10 ,$40 ,$30 ,$50 ,$17 ,777,$26 ,Small Market,Central,$4 ,1,Beans,Espresso,Caffe Mocha,$11 ,$43 ,Iowa,$15 ,Regular,6/17/2018,17/6/2018
573,$50 ,$90 ,$70 ,$140 ,$50 ,821,$73 ,Small Market,Central,$14 ,1,Beans,Espresso,Caffe Mocha,$48 ,$123 ,Missouri,$25 ,Regular,9/6/2017,6/9/2017
414,$80 ,$90 ,$50 ,$170 ,$69 ,965,$81 ,Small Market,Central,$21 ,1,Beans,Espresso,Caffe Mocha,$38 ,$150 ,Wisconsin,$43 ,Regular,8/29/2017,29/8/2017
603,$30 ,$50 ,$30 ,$80 ,$38 ,241,$55 ,Small Market,East,$12 ,1,Beans,Coffee,Amaretto,$20 ,$93 ,New Hampshire,$35 ,Regular,8/29/2017,29/8/2017
475,$110 ,$180 ,$130 ,$290 ,$124 ,961,$186 ,Small Market,East,$40 ,1,Beans,Coffee,Colombian,$115 ,$310 ,Connecticut,$71 ,Regular,8/29/2017,29/8/2017
603,$40 ,$70 ,$40 ,$110 ,$48 ,372,$72 ,Small Market,East,$15 ,1,Beans,Coffee,Colombian,$25 ,$120 ,New Hampshire,$47 ,Regular,12/1/2017,1/12/2017
860,$70 ,$100 ,$20 ,$170 ,$75 ,522,$105 ,Small Market,East,$68 ,1,Beans,Espresso,Caffe Mocha,$7 ,$180 ,Connecticut,$98 ,Regular,11/13/2016,13/11/2016
603,$30 ,$50 ,$0 ,$80 ,$37 ,261,$53 ,Small Market,East,$34 ,1,Beans,Espresso,Caffe Mocha,($10),$90 ,New Hampshire,$63 ,Regular,11/13/2016,13/11/2016
603,$20 ,$40 ,$0 ,$60 ,$29 ,169,$36 ,Small Market,East,$11 ,1,Beans,Espresso,Regular Espresso,($8),$65 ,New Hampshire,$44 ,Regular,11/13/2016,13/11/2016
225,$40 ,$60 ,$50 ,$100 ,$34 ,777,$51 ,Small Market,South,$9 ,1,Beans,Coffee,Colombian,$30 ,$85 ,Louisiana,$21 ,Regular,11/23/2018,23/11/2018
505,$60 ,$90 ,$50 ,$150 ,$48 ,372,$72 ,Small Market,South,$15 ,1,Beans,Coffee,Colombian,$26 ,$120 ,New Mexico,$46 ,Regular,11/23/2018,23/11/2018
580,$50 ,$70 ,$50 ,$120 ,$44 ,623,$56 ,Small Market,South,$14 ,1,Beans,Coffee,Colombian,$29 ,$100 ,Oklahoma,$27 ,Regular,11/23/2018,23/11/2018
504,$60 ,$90 ,$10 ,$150 ,$75 ,522,$105 ,Small Market,South,$68 ,1,Beans,Espresso,Caffe Latte,$8 ,$180 ,Louisiana,$97 ,Regular,10/15/2016,15/10/2016
505,$20 ,$30 ,$0 ,$50 ,$29 ,169,$36 ,Small Market,South,$11 ,1,Beans,Espresso,Caffe Latte,($8),$65 ,New Mexico,$44 ,Regular,12/25/2018,25/12/2018
405,$70 ,$100 ,$70 ,$170 ,$84 ,500,$116 ,Small Market,South,$26 ,1,Beans,Espresso,Caffe Latte,$66 ,$200 ,Oklahoma,$50 ,Regular,11/3/2017,3/11/2017
337,$50 ,$100 ,$80 ,$150 ,$67 ,400,$113 ,Small Market,South,$20 ,1,Beans,Espresso,Caffe Mocha,$70 ,$180 ,Louisiana,$43 ,Regular,11/3/2017,3/11/2017
505,$30 ,$40 ,($10),$70 ,$37 ,261,$53 ,Small Market,South,$34 ,1,Beans,Espresso,Caffe Mocha,($10),$90 ,New Mexico,$63 ,Regular,8/25/2015,25/8/2015
405,$20 ,$40 ,$40 ,$60 ,$32 ,456,$48 ,Small Market,South,$8 ,1,Beans,Espresso,Caffe Mocha,$28 ,$80 ,Oklahoma,$20 ,Regular,8/25/2015,25/8/2015
541,$70 ,$110 ,$40 ,$180 ,$63 ,435,$87 ,Small Market,West,$57 ,1,Beans,Coffee,Amaretto,$1 ,$150 ,Oregon,$86 ,Regular,8/25/2015,25/8/2015
801,$90 ,$120 ,$80 ,$210 ,$78 ,965,$92 ,Small Market,West,$24 ,1,Beans,Coffee,Amaretto,$47 ,$170 ,Utah,$45 ,Regular,8/25/2015,25/8/2015
702,$40 ,$50 ,$10 ,$90 ,$34 ,197,$42 ,Small Market,West,$12 ,1,Beans,Coffee,Colombian,($3),$76 ,Nevada,$45 ,Regular,3/2/2016,2/3/2016
503,$80 ,$120 ,$60 ,$200 ,$67 ,400,$93 ,Small Market,West,$22 ,1,Beans,Coffee,Colombian,$28 ,$160 ,Oregon,$65 ,Regular,4/5/2016,5/4/2016
435,$60 ,$100 ,$70 ,$160 ,$55 ,312,$75 ,Small Market,West,$18 ,1,Beans,Coffee,Colombian,$30 ,$130 ,Utah,$45 ,Regular,6/12/2017,12/6/2017
206,$60 ,$100 ,$70 ,$160 ,$53 ,338,$77 ,Small Market,West,$16 ,1,Beans,Coffee,Colombian,$38 ,$130 ,Washington,$39 ,Regular,6/12/2017,12/6/2017
775,$10 ,$30 ,$20 ,$40 ,$17 ,777,$26 ,Small Market,West,$4 ,1,Beans,Espresso,Caffe Latte,$11 ,$43 ,Nevada,$15 ,Regular,6/12/2017,12/6/2017
503,$50 ,$70 ,$20 ,$120 ,$58 ,338,$72 ,Small Market,West,$22 ,1,Beans,Espresso,Caffe Latte,$16 ,$130 ,Oregon,$56 ,Regular,6/12/2017,12/6/2017
435,$40 ,$60 ,$40 ,$100 ,$46 ,777,$68 ,Small Market,West,$12 ,1,Beans,Espresso,Caffe Latte,$44 ,$114 ,Utah,$24 ,Regular,6/12/2017,12/6/2017
425,$40 ,$60 ,$40 ,$100 ,$48 ,623,$62 ,Small Market,West,$15 ,1,Beans,Espresso,Caffe Latte,$35 ,$110 ,Washington,$27 ,Regular,12/26/2015,26/12/2015
702,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,Small Market,West,$5 ,1,Beans,Espresso,Caffe Mocha,$10 ,$45 ,Nevada,$17 ,Regular,9/20/2015,20/9/2015
503,$50 ,$80 ,$50 ,$130 ,$60 ,336,$80 ,Small Market,West,$19 ,1,Beans,Espresso,Caffe Mocha,$33 ,$140 ,Oregon,$47 ,Regular,11/5/2018,5/11/2018
435,$40 ,$60 ,$40 ,$100 ,$49 ,623,$63 ,Small Market,West,$16 ,1,Beans,Espresso,Caffe Mocha,$34 ,$112 ,Utah,$29 ,Regular,11/5/2018,5/11/2018
253,$50 ,$60 ,$20 ,$110 ,$54 ,312,$66 ,Small Market,West,$20 ,1,Beans,Espresso,Caffe Mocha,$13 ,$120 ,Washington,$53 ,Regular,11/6/2017,6/11/2017
641,$200 ,$280 ,$200 ,$480 ,$234 ,"1,310",$312 ,Small Market,Central,$77 ,1,Leaves,Herbal Tea,Chamomile,$202 ,$546 ,Iowa,$110 ,Decaf,11/6/2017,6/11/2017
573,$30 ,$40 ,$0 ,$70 ,$37 ,261,$53 ,Small Market,Central,$34 ,1,Leaves,Herbal Tea,Chamomile,($11),$90 ,Missouri,$64 ,Decaf,2/2/2018,2/2/2018
715,$50 ,$100 ,$80 ,$150 ,$67 ,400,$113 ,Small Market,Central,$20 ,1,Leaves,Herbal Tea,Chamomile,$70 ,$180 ,Wisconsin,$43 ,Decaf,2/2/2018,2/2/2018
